idn,key,stat,p,group,name,z
15,451538,0.0801851705161305,0.21,HH,010010207001,180.64212470182403
21,451544,0.27030875392535136,0.05,HH,010010208023,264.4853626951472
22,451545,0.15650701642236578,0.18,HH,010010208024,191.53650878428144
24,451547,0.03196557221333835,0.5,HH,010010209002,100.0
30,451553,0.0060592720385734085,0.28,HH,010010211002,158.2841507271216
31,451554,1.9234650673244729,0.01,HH,010010211003,332.6347874040841
34,451557,0.07402152378089911,0.23,HH,010030101003,173.88468491852137
37,451560,0.14604012308238074,0.35,HH,010030103001,138.5320466407568
38,451561,0.43453939282328186,0.06,HH,010030103002,255.47735945968535
39,451562,0.405979082214867,0.17,HH,010030103003,195.41652531461943
52,451575,0.8857462632929765,0.03,HH,010030107013,288.0793608151251
65,451588,0.005818923450298825,0.43,HH,010030109032,117.63741647808615
66,451589,0.0032466880845289196,0.04,HH,010030109033,275.0686071252169
68,451591,0.5159394092908762,0.05,HH,010030109042,264.4853626951472
70,451593,0.0010762538443966662,0.45,HH,010030109051,112.56613468550742
72,451595,0.00896358828286678,0.16,HH,010030109053,199.4457883209753
84,451607,0.03866695906411875,0.35,HH,010030112012,138.5320466407568
85,451608,0.24902286201872537,0.01,HH,010030112021,332.6347874040841
89,451612,0.031369482667134484,0.36,HH,010030113001,135.84587932511937
90,451613,2.484642977197397,0.01,HH,010030113002,332.6347874040841
92,451615,0.11744605479978629,0.02,HH,010030113004,305.37489106318225
93,451616,0.15578874063394033,0.23,HH,010030114011,173.88468491852137
94,451617,1.424028370403581,0.01,HH,010030114012,332.6347874040841
95,451618,0.12065815396002025,0.07,HH,010030114013,247.579102817917
96,451619,0.7456338167898567,0.11,HH,010030114014,222.65281200366104
97,451620,3.6781687795101297,0.03,HH,010030114015,288.0793608151251
98,451621,2.8032303383342536,0.01,HH,010030114031,332.6347874040841
100,451623,0.08818669014579614,0.14,HH,010030114033,208.0319340814956
101,451624,0.0329737168535081,0.49,HH,010030114051,102.50689082587111
102,451625,0.5127450843707476,0.17,HH,010030114052,195.41652531461943
103,451626,0.15698735239223963,0.28,HH,010030114061,158.2841507271216
