idn,key,stat,p,group,name,z
8,451531,0.022963400952093354,0.05,HH,010010204003,264.4853626951472
9,451532,0.23747561809479942,0.27,HH,010010204004,161.28129910166274
10,451533,0.09338063795573323,0.29,HH,010010205001,155.3384719555673
14,451537,0.6967561305917881,0.13,HH,010010206002,212.63911290388006
15,451538,0.5169507434759497,0.1,HH,010010207001,228.15515655446004
18,451541,0.18231513729441215,0.09,HH,010010208012,234.07550336902165
20,451543,0.05934274286569253,0.37,HH,010010208022,133.18533464368167
27,451550,0.10327603713241054,0.16,HH,010010210001,199.4457883209753
29,451552,0.12453240265442884,0.04,HH,010010211001,275.0686071252169
30,451553,0.14689884667065384,0.37,HH,010010211002,133.18533464368167
38,451561,0.3047455022822118,0.22,HH,010030103002,177.21932141886847
45,451568,0.03614261388189811,0.46,HH,010030105003,110.04337205114699
47,451570,0.06860089788804269,0.37,HH,010030106001,133.18533464368167
49,451572,0.1234664269735063,0.35,HH,010030106003,138.5320466407568
56,451579,0.14976728174280163,0.43,HH,010030107041,117.63741647808615
61,451584,1.1674194406016956,0.04,HH,010030108001,275.0686071252169
62,451585,0.28079189167897,0.28,HH,010030108002,158.2841507271216
63,451586,0.17819587968334266,0.03,HH,010030108003,288.0793608151251
77,451600,1.2872350423980372,0.04,HH,010030110002,275.0686071252169
86,451609,0.5454611765279636,0.03,HH,010030112022,288.0793608151251
88,451611,0.4971041275391877,0.15,HH,010030112024,203.64333894937897
105,451628,0.32017321846916086,0.05,HH,010030114063,264.4853626951472
109,451632,0.007504831697483982,0.2,HH,010030114081,184.16212335729142
111,451634,0.7908482975909278,0.02,HH,010030115012,305.37489106318225
113,451636,0.6117587374575717,0.13,HH,010030115021,212.63911290388006
114,451637,0.21585313601153927,0.33,HH,010030115022,143.99131656732337
122,451645,0.29616988371678643,0.12,HH,010030116022,217.49867920660904
132,451655,0.28850166230495894,0.19,HH,010059503001,187.7896295051229
133,451656,0.0906081065843372,0.36,HH,010059503002,135.84587932511937
134,451657,0.22046882220831066,0.21,HH,010059504001,180.64212470182403
135,451658,0.1456854997898053,0.1,HH,010059504002,228.15515655446004
136,451659,0.02411055794518455,0.11,HH,010059504003,222.65281200366104
137,451660,0.04295101858473355,0.44,HH,010059505001,115.09692154967775
138,451661,0.0732635714292341,0.28,HH,010059505002,158.2841507271216
141,451664,0.30653264066057506,0.12,HH,010059506002,217.49867920660904
143,451666,1.180393484798194,0.07,HH,010059507002,247.579102817917
144,451667,0.08676281348608367,0.1,HH,010059508001,228.15515655446004
149,451672,0.21323454312846468,0.33,HH,010070100011,143.99131656732337
151,451674,0.2944742618304123,0.25,HH,010070100021,167.44897501960816
152,451675,0.14171694485888636,0.08,HH,010070100022,240.5071560309633
153,451676,0.12136007652423371,0.3,HH,010070100023,152.44005127080408
155,451678,0.05347195656449814,0.35,HH,010070100032,138.5320466407568
156,451679,0.15790994664691801,0.38,HH,010070100033,130.54807880993974
159,451682,0.025067806330597166,0.23,HH,010070100042,173.88468491852137
162,451685,0.013210605450537233,0.33,HH,010070100045,143.99131656732337
165,451688,0.13575350163416522,0.27,HH,010090501012,161.28129910166274
166,451689,0.1415402495149926,0.31,HH,010090501013,149.5850347347453
167,451690,0.2739279543788716,0.17,HH,010090501014,195.41652531461943
170,451693,0.09643841737840504,0.45,HH,010090501022,112.56613468550742
171,451694,0.13359146256206902,0.17,HH,010090501023,195.41652531461943
176,451699,0.10675179218579177,0.21,HH,010090503002,180.64212470182403
178,451701,0.06222412830306605,0.25,HH,010090503004,167.44897501960816
180,451703,0.13850103862088756,0.08,HH,010090504002,240.5071560309633
185,451708,0.02953941130878662,0.46,HH,010090505003,110.04337205114699
188,451711,0.04403497415166476,0.28,HH,010090506011,158.2841507271216
193,451716,0.49575178485202614,0.04,HH,010090506024,275.0686071252169
195,451718,0.34740307537617,0.05,HH,010090507001,264.4853626951472
197,451720,0.08849982620309872,0.37,HH,010090507003,133.18533464368167
198,451721,0.26852380023740346,0.35,HH,010090507004,138.5320466407568
206,451729,0.4150771442576475,0.14,HH,010139527001,208.0319340814956
211,451734,0.5347532950350028,0.06,HH,010139530001,255.47735945968535
213,451736,0.09008717972981028,0.4,HH,010139531001,125.33471031357998
220,451743,0.3406702404687198,0.35,HH,010139533001,138.5320466407568
221,451744,0.20270501149586523,0.29,HH,010139533002,155.3384719555673
225,451748,0.041306474765337976,0.24,HH,010150002001,170.63025628400874
229,451752,0.007116526010647128,0.32,HH,010150004001,146.7698799114508
231,451754,0.00363078435407926,0.48,HH,010150004003,105.01535834647336
233,451756,0.11976284864831982,0.42,HH,010150005002,120.1893479141851
235,451758,0.20834283698877035,0.15,HH,010150006002,203.64333894937897
238,451761,0.05396006697113188,0.23,HH,010150007003,173.88468491852137
239,451762,0.009261721750528135,0.49,HH,010150008001,102.50689082587111
245,451768,0.0037114080268628685,0.26,HH,010150010003,164.3345405392917
247,451770,0.06956858533695662,0.32,HH,010150011001,146.7698799114508
250,451773,0.13674465184514448,0.21,HH,010150011004,180.64212470182403
251,451774,0.05629223126330695,0.37,HH,010150012011,133.18533464368167
255,451778,1.2362325623819372,0.08,HH,010150012023,240.5071560309633
274,451797,0.03409851370031182,0.05,HH,010150018002,264.4853626951472
280,451803,0.004313073059065845,0.32,HH,010150020002,146.7698799114508
281,451804,3.2545917017702185e-05,0.59,HH,010150020003,77.24550233588506
292,451815,0.05802652237971709,0.41,HH,010150022001,122.75449766411496
300,451823,0.3138410243846952,0.27,HH,010150024001,161.28129910166274
325,451848,0.19173118752872595,0.46,HH,010179540003,110.04337205114699
332,451855,0.04522445831038626,0.42,HH,010179543001,120.1893479141851
333,451856,0.21043584411410726,0.13,HH,010179543002,212.63911290388006
338,451861,0.22693210795528013,0.07,HH,010179545001,247.579102817917
341,451864,0.15339580038028972,0.42,HH,010179545004,120.1893479141851
345,451868,0.07759627831467146,0.45,HH,010179547001,112.56613468550742
367,451890,0.15256880081271731,0.26,HH,010199561004,164.3345405392917
368,451891,0.021753872535767993,0.45,HH,010210601011,112.56613468550742
370,451893,0.3071691554438465,0.29,HH,010210601013,155.3384719555673
375,451898,0.07710825259321685,0.29,HH,010210601024,155.3384719555673
382,451905,0.3213242523871589,0.18,HH,010210604012,191.53650878428144
384,451907,0.07626119413240064,0.38,HH,010210604021,130.54807880993974
386,451909,0.012462266428446651,0.53,HH,010210604023,92.473013790017
400,451923,0.3185373339626174,0.02,HH,010239567003,305.37489106318225
404,451927,0.0582870886301097,0.05,HH,010239568003,264.4853626951472
405,451928,0.033610874272530754,0.38,HH,010239568004,130.54807880993974
406,451929,0.7580932806605273,0.14,HH,010239568005,208.0319340814956
407,451930,0.34355013266733975,0.27,HH,010239569001,161.28129910166274
424,451947,0.33153115691862073,0.21,HH,010259578002,180.64212470182403
427,451950,0.49923896829035386,0.4,HH,010259578005,125.33471031357998
436,451959,0.23589311310606015,0.07,HH,010259580021,247.579102817917
438,451961,0.5683298401525181,0.22,HH,010279589002,177.21932141886847
440,451963,1.1901988449113614,0.02,HH,010279589004,305.37489106318225
466,451989,0.013947946434687707,0.49,HH,010310103002,102.50689082587111
470,451993,0.04847677177346379,0.28,HH,010310105002,158.2841507271216
472,451995,0.06906834495565864,0.4,HH,010310105004,125.33471031357998
478,452001,0.23216727405971788,0.16,HH,010310108002,199.4457883209753
484,452007,0.44198656141652315,0.23,HH,010310112011,173.88468491852137
485,452008,0.02071934742408509,0.22,HH,010310112012,177.21932141886847
496,452019,0.021304883240765665,0.44,HH,010330201003,115.09692154967775
499,452022,0.07880139051505174,0.06,HH,010330202002,255.47735945968535
504,452027,0.00978266627678864,0.48,HH,010330204002,105.01535834647336
513,452036,0.021395488200662175,0.25,HH,010330207011,167.44897501960816
514,452037,0.00884904415820879,0.59,HH,010330207012,77.24550233588506
520,452043,0.0781029619056292,0.32,HH,010330207042,146.7698799114508
525,452048,0.04979600510527613,0.24,HH,010330208013,170.63025628400874
532,452055,0.23693677145480072,0.12,HH,010330209021,217.49867920660904
533,452056,0.025887928696071955,0.47,HH,010330209022,107.526986209983
534,452057,0.4399642297546588,0.11,HH,010330209023,222.65281200366104
537,452060,0.38725693749834283,0.25,HH,010330210002,167.44897501960816
