idn,key,stat,p,group,name,z
2,451525,0.5316801686896713,0.17,HH,010010202001,195.41652531461943
5,451528,0.31363799073224,0.28,HH,010010203002,158.2841507271216
8,451531,0.7432892634244805,0.04,HH,010010204003,275.0686071252169
9,451532,0.5825583507269223,0.11,HH,010010204004,222.65281200366104
10,451533,0.42877106409243165,0.04,HH,010010205001,275.0686071252169
14,451537,0.5009269643881138,0.18,HH,010010206002,191.53650878428144
15,451538,0.005965211466877284,0.46,HH,010010207001,110.04337205114699
18,451541,0.11839242458196299,0.15,HH,010010208012,203.64333894937897
20,451543,0.13891228432324507,0.3,HH,010010208022,152.44005127080408
22,451545,0.14387141628523403,0.27,HH,010010208024,161.28129910166274
23,451546,0.13132023523847855,0.32,HH,010010209001,146.7698799114508
27,451550,0.29342561190015204,0.23,HH,010010210001,173.88468491852137
30,451553,0.05743525196816605,0.41,HH,010010211002,122.75449766411496
37,451560,0.6075715041962065,0.04,HH,010030103001,275.0686071252169
38,451561,0.29054201029013227,0.2,HH,010030103002,184.16212335729142
39,451562,0.03481532861321632,0.39,HH,010030103003,127.93190344474542
41,451564,0.12172341605466525,0.25,HH,010030104002,167.44897501960816
45,451568,0.4491213765686923,0.27,HH,010030105003,161.28129910166274
49,451572,0.9038840157399113,0.38,HH,010030106003,130.54807880993974
53,451576,0.23330903438792389,0.25,HH,010030107014,167.44897501960816
61,451584,1.0255765290554766,0.07,HH,010030108001,247.579102817917
62,451585,0.32014104524028875,0.19,HH,010030108002,187.7896295051229
63,451586,0.3290765824338671,0.09,HH,010030108003,234.07550336902165
71,451594,0.22851916739130884,0.26,HH,010030109052,164.3345405392917
72,451595,0.11461522824419361,0.37,HH,010030109053,133.18533464368167
75,451598,0.6569161120700454,0.18,HH,010030109063,191.53650878428144
77,451600,0.3899699625784421,0.16,HH,010030110002,199.4457883209753
78,451601,1.2380262556098165,0.01,HH,010030111011,332.6347874040841
81,451604,0.07622320135540198,0.3,HH,010030111021,152.44005127080408
82,451605,0.616398471746502,0.15,HH,010030111022,203.64333894937897
88,451611,0.1175043931138082,0.46,HH,010030112024,110.04337205114699
105,451628,0.3009176863871639,0.02,HH,010030114063,305.37489106318225
111,451634,0.6144594768150873,0.06,HH,010030115012,255.47735945968535
114,451637,0.13895537312247264,0.38,HH,010030115022,130.54807880993974
121,451644,0.3012121173842227,0.14,HH,010030116021,208.0319340814956
122,451645,0.5181153397823438,0.1,HH,010030116022,228.15515655446004
123,451646,0.08850147999384562,0.41,HH,010030116023,122.75449766411496
125,451648,0.2195151933215903,0.12,HH,010039900000,217.49867920660904
126,451649,0.05691829964738269,0.4,HH,010059501001,125.33471031357998
132,451655,0.034881473026792904,0.35,HH,010059503001,138.5320466407568
134,451657,0.0358224031419202,0.36,HH,010059504001,135.84587932511937
135,451658,0.13673413221580816,0.2,HH,010059504002,184.16212335729142
