idn,key,stat,p,group,name,z
7,451530,1.4631983073220405,0.01,HH,010010204002,332.6347874040841
18,451541,0.001919804786815282,0.25,HH,010010208012,167.44897501960816
24,451547,0.3600706925596399,0.2,HH,010010209002,184.16212335729142
25,451548,0.2741489229853013,0.09,HH,010010209003,234.07550336902165
36,451559,0.28037339527370686,0.05,HH,010030102002,264.4853626951472
44,451567,0.0056369436910002095,0.3,HH,010030105002,152.44005127080408
46,451569,39.02025849235216,0.01,HH,010030105004,332.6347874040841
47,451570,0.026479879121507215,0.18,HH,010030106001,191.53650878428144
48,451571,0.25729086605422347,0.06,HH,010030106002,255.47735945968535
50,451573,2.0757180050281887,0.07,HH,010030107011,247.579102817917
51,451574,0.9952516726873436,0.01,HH,010030107012,332.6347874040841
53,451576,1.1798969372789248,0.07,HH,010030107014,247.579102817917
54,451577,1.0503721768546301,0.03,HH,010030107031,288.0793608151251
57,451580,0.8411710384384,0.23,HH,010030107042,173.88468491852137
64,451587,1.9501526716591258,0.07,HH,010030109031,247.579102817917
66,451589,0.02857020788908436,0.25,HH,010030109033,167.44897501960816
71,451594,0.10575144188305742,0.22,HH,010030109052,177.21932141886847
74,451597,0.03501715558964806,0.21,HH,010030109062,180.64212470182403
75,451598,0.06774968162629219,0.04,HH,010030109063,275.0686071252169
76,451599,0.007128368021112988,0.22,HH,010030110001,177.21932141886847
78,451601,0.2881450261697196,0.18,HH,010030111011,191.53650878428144
79,451602,2.19630200169124,0.07,HH,010030111012,247.579102817917
81,451604,1.6289845481064784,0.03,HH,010030111021,288.0793608151251
82,451605,0.24515407021076033,0.06,HH,010030111022,255.47735945968535
84,451607,0.42622097424397515,0.13,HH,010030112012,212.63911290388006
88,451611,0.05030044863230778,0.22,HH,010030112024,177.21932141886847
99,451622,0.04876952147133675,0.28,HH,010030114032,158.2841507271216
102,451625,0.06716449671618835,0.25,HH,010030114052,167.44897501960816
104,451627,0.8867409689785989,0.04,HH,010030114062,275.0686071252169
107,451630,0.21162798348931883,0.2,HH,010030114072,184.16212335729142
120,451643,0.9264205370619134,0.07,HH,010030116014,247.579102817917
128,451651,0.6905746245219366,0.1,HH,010059501003,228.15515655446004
130,451653,0.20863653883877814,0.23,HH,010059502002,173.88468491852137
139,451662,0.576314042041435,0.07,HH,010059505003,247.579102817917
140,451663,0.41810811076506343,0.11,HH,010059506001,222.65281200366104
146,451669,0.08403115655868107,0.18,HH,010059509001,191.53650878428144
163,451686,0.05459441145356671,0.18,HH,010070100046,191.53650878428144
164,451687,0.024247966280475094,0.43,HH,010090501011,117.63741647808615
184,451707,0.01648728816434056,0.32,HH,010090505002,146.7698799114508
199,451722,0.04851939814528085,0.11,HH,010119521001,222.65281200366104
215,451738,0.004888097282522949,0.35,HH,010139531003,138.5320466407568
217,451740,1.214182316009045,0.11,HH,010139532002,222.65281200366104
227,451750,0.012011774416178634,0.23,HH,010150003001,173.88468491852137
233,451756,0.11979062678196474,0.21,HH,010150005002,180.64212470182403
267,451790,0.1920772897277802,0.21,HH,010150016003,180.64212470182403
269,451792,2.760117481603054,0.02,HH,010150017001,305.37489106318225
270,451793,3.7017176957412303,0.01,HH,010150017002,332.6347874040841
271,451794,0.02312388549375929,0.04,HH,010150017003,275.0686071252169
332,451855,0.3506748412819343,0.17,HH,010179543001,195.41652531461943
342,451865,1.1088320952927349,0.07,HH,010179546001,247.579102817917
356,451879,0.007657368048542267,0.15,HH,010199558003,203.64333894937897
372,451895,0.02072964274053672,0.33,HH,010210601021,143.99131656732337
376,451899,0.7318491988713792,0.02,HH,010210601025,305.37489106318225
389,451912,1.5003577443391245,0.05,HH,010210605001,264.4853626951472
390,451913,0.09656927654770275,0.23,HH,010210605002,173.88468491852137
396,451919,0.18187440628463244,0.29,HH,010210607003,155.3384719555673
403,451926,0.012774842210042908,0.27,HH,010239568002,161.28129910166274
405,451928,0.0180777656352976,0.24,HH,010239568004,170.63025628400874
408,451931,0.5473791882288519,0.01,HH,010239569002,332.6347874040841
417,451940,0.14703567053031352,0.24,HH,010259576022,170.63025628400874
425,451948,0.21253020807692388,0.01,HH,010259578003,332.6347874040841
442,451965,0.19385714162346648,0.16,HH,010279590002,199.4457883209753
443,451966,0.1733505639476828,0.13,HH,010279590003,212.63911290388006
444,451967,0.02071902295661568,0.32,HH,010279591001,146.7698799114508
452,451975,0.7181374250847047,0.02,HH,010299596001,305.37489106318225
456,451979,1.0027372093329248,0.02,HH,010299597002,305.37489106318225
466,451989,0.06803799243521257,0.37,HH,010310103002,133.18533464368167
468,451991,0.0044516046150689685,0.4,HH,010310104002,125.33471031357998
470,451993,0.0003317206086022017,0.47,HH,010310105002,107.526986209983
477,452000,0.011737177677113955,0.16,HH,010310108001,199.4457883209753
478,452001,0.05068791026301665,0.34,HH,010310108002,141.24631294414047
481,452004,0.07599301396707407,0.21,HH,010310110001,180.64212470182403
483,452006,0.07765259835736392,0.2,HH,010310111001,184.16212335729142
484,452007,0.032906155533632624,0.23,HH,010310112011,173.88468491852137
490,452013,0.09865394065645705,0.22,HH,010310112024,177.21932141886847
492,452015,0.06055314135068958,0.18,HH,010310113002,191.53650878428144
498,452021,0.05319240434379132,0.02,HH,010330202001,305.37489106318225
501,452024,0.00022528723466668378,0.31,HH,010330203002,149.5850347347453
515,452038,0.001506707850676836,0.38,HH,010330207013,130.54807880993974
516,452039,0.01486260826362432,0.29,HH,010330207031,155.3384719555673
521,452044,0.003292795742882158,0.41,HH,010330207043,122.75449766411496
522,452045,0.2703787961426228,0.14,HH,010330207044,208.0319340814956
528,452051,1.3937282544966814,0.01,HH,010330208023,332.6347874040841
538,452061,0.38357688983528265,0.11,HH,010330210003,222.65281200366104
554,452077,0.06546331656931861,0.24,HH,010379610003,170.63025628400874
555,452078,0.014291428352374022,0.17,HH,010379610004,195.41652531461943
568,452091,0.3835210528233571,0.06,HH,010399617002,255.47735945968535
569,452092,4.297652725236848,0.03,HH,010399617003,288.0793608151251
570,452093,5.070911499656538,0.02,HH,010399618001,305.37489106318225
572,452095,1.6682606855536986,0.02,HH,010399619001,305.37489106318225
577,452100,0.1480127353521547,0.09,HH,010399620004,234.07550336902165
579,452102,0.0031297486175810335,0.36,HH,010399621002,135.84587932511937
581,452104,0.007796351619443637,0.31,HH,010399623002,149.5850347347453
593,452116,0.011895969531953118,0.13,HH,010399628001,212.63911290388006
594,452117,0.0030456960454739953,0.43,HH,010399628002,117.63741647808615
606,452129,0.35071069868502275,0.01,HH,010419636003,332.6347874040841
609,452132,0.011753911946389715,0.39,HH,010419638001,127.93190344474542
610,452133,0.010871063205208453,0.32,HH,010419639001,146.7698799114508
629,452152,0.023978163843163994,0.26,HH,010439645002,164.3345405392917
644,452167,0.004124298767016918,0.32,HH,010439649004,146.7698799114508
647,452170,0.03706797332451612,0.37,HH,010439650001,133.18533464368167
655,452178,0.2112216293122613,0.11,HH,010439652001,222.65281200366104
