idn,key,stat,p,group,name,z
32,451555,1.2305403874257514,0.02,HH,010030101001,305.37489106318225
33,451556,3.03130288165744,0.01,HH,010030101002,332.6347874040841
34,451557,3.716732797673864,0.01,HH,010030101003,332.6347874040841
36,451559,0.3056902104760983,0.07,HH,010030102002,247.579102817917
97,451620,0.3760968677176572,0.1,HH,010030114015,228.15515655446004
133,451656,0.01978083305554708,0.22,HH,010059503002,177.21932141886847
141,451664,0.15304710220724035,0.19,HH,010059506002,187.7896295051229
149,451672,0.37138387098044034,0.15,HH,010070100011,203.64333894937897
196,451719,0.0005575681254264925,0.14,HH,010090507002,208.0319340814956
197,451720,3.1862573042434166,0.08,HH,010090507003,240.5071560309633
220,451743,0.06858470845699306,0.2,HH,010139533001,184.16212335729142
267,451790,0.10205725388365942,0.04,HH,010150016003,275.0686071252169
293,451816,0.023797732272602675,0.15,HH,010150022002,203.64333894937897
404,451927,0.366204697960203,0.09,HH,010239568003,234.07550336902165
427,451950,2.6457280462257753,0.13,HH,010259578005,212.63911290388006
433,451956,0.5872234453743342,0.06,HH,010259579023,255.47735945968535
440,451963,0.6440794688754451,0.04,HH,010279589004,275.0686071252169
562,452085,0.056907880529041215,0.28,HH,010379612004,158.2841507271216
563,452086,0.00766501220502936,0.11,HH,010399616001,222.65281200366104
573,452096,0.0016415208330298084,0.06,HH,010399619002,255.47735945968535
641,452164,0.10506131645605891,0.18,HH,010439649001,191.53650878428144
665,452188,0.04928546905147288,0.2,HH,010439654024,184.16212335729142
711,452234,0.14142359392343656,0.02,HH,010450213004,305.37489106318225
806,452329,0.24233055837248238,0.13,HH,010499614002,212.63911290388006
929,452452,0.17321767202614172,0.07,HH,010550102005,247.579102817917
1039,452562,0.015956645255562174,0.26,HH,010630601003,164.3345405392917
1049,452572,0.03499197210056558,0.12,HH,010650403001,217.49867920660904
1058,452581,0.04557303210046839,0.16,HH,010670301001,199.4457883209753
1102,452625,0.06261431119427018,0.2,HH,010690408003,184.16212335729142
1108,452631,0.016585545911816647,0.16,HH,010690410003,199.4457883209753
1213,452736,0.26734454516572514,0.14,HH,010730011001,208.0319340814956
1275,452798,0.0011223619640339212,0.15,HH,010730031003,203.64333894937897
1293,452816,0.07326631846863864,0.19,HH,010730036005,187.7896295051229
1296,452819,0.054197447511985145,0.21,HH,010730037002,180.64212470182403
1305,452828,0.03931085541254513,0.2,HH,010730038033,184.16212335729142
1308,452831,0.0863534133785578,0.12,HH,010730040001,217.49867920660904
1340,452863,0.017251383694202777,0.14,HH,010730051033,208.0319340814956
1369,452892,0.02783378186871002,0.12,HH,010730059033,217.49867920660904
1378,452901,0.16100225413427952,0.38,HH,010730059101,130.54807880993974
1399,452922,0.09472722401552376,0.09,HH,010730103021,234.07550336902165
1402,452925,0.006874826289343904,0.09,HH,010730104011,234.07550336902165
1420,452943,2.2797879470214446,0.01,HH,010730107021,332.6347874040841
1468,452991,0.0894460228971862,0.14,HH,010730111045,208.0319340814956
1470,452993,0.09561528975933133,0.27,HH,010730111071,161.28129910166274
1493,453016,3.9548359617359057,0.08,HH,010730112072,240.5071560309633
1501,453024,0.033770348377253664,0.24,HH,010730113012,170.63025628400874
1625,453148,0.028474499770836038,0.15,HH,010730129151,203.64333894937897
