idn,key,stat,p,group,name,z
9,451532,0.0063190103548765985,0.47,HH,010010204004,107.526986209983
49,451572,0.08352644209898442,0.47,HH,010030106003,107.526986209983
88,451611,0.3596583678897383,0.2,HH,010030112024,184.16212335729142
220,451743,0.04486532864924513,0.33,HH,010139533001,143.99131656732337
231,451754,0.030976455035339395,0.33,HH,010150004003,143.99131656732337
236,451759,0.03300297739854097,0.43,HH,010150007001,117.63741647808615
438,451961,0.619873348514761,0.21,HH,010279589002,180.64212470182403
589,452112,0.011631216664357711,0.25,HH,010399626001,167.44897501960816
590,452113,0.05841279692972949,0.28,HH,010399626002,158.2841507271216
660,452183,0.08986891268845384,0.12,HH,010439654011,217.49867920660904
677,452200,0.6981872464125882,0.07,HH,010450201002,247.579102817917
681,452204,0.015956210530427718,0.39,HH,010450203001,127.93190344474542
684,452207,0.017687494253566576,0.43,HH,010450204002,117.63741647808615
689,452212,1.3414272852039149,0.07,HH,010450207002,247.579102817917
701,452224,0.01614824202608805,0.11,HH,010450211013,222.65281200366104
703,452226,0.33001562142282675,0.33,HH,010450211022,143.99131656732337
705,452228,0.10869885645263377,0.33,HH,010450211024,143.99131656732337
709,452232,0.03630838715482775,0.4,HH,010450213002,125.33471031357998
1497,453020,0.00021345130512460787,0.4,HH,010730112092,125.33471031357998
1530,453053,2.5267347844031165,0.05,HH,010730118024,264.4853626951472
1666,453189,0.004469000369884794,0.39,HH,010730141024,127.93190344474542
1676,453199,0.0019912225092729883,0.43,HH,010730142041,117.63741647808615
1752,453275,0.6270154747177173,0.03,HH,010770110005,288.0793608151251
1764,453287,0.04370665050470423,0.42,HH,010770114001,120.1893479141851
1894,453417,0.12832167401478364,0.23,HH,010810420053,173.88468491852137
1904,453427,0.002353539618998216,0.49,HH,010830201012,102.50689082587111
1905,453428,0.015372004931279304,0.45,HH,010830201013,112.56613468550742
1906,453429,0.0904641285741294,0.34,HH,010830201021,141.24631294414047
1907,453430,0.07973326474992333,0.32,HH,010830201022,146.7698799114508
1909,453432,0.3076244833647781,0.29,HH,010830201024,155.3384719555673
1921,453444,0.1899087752660361,0.25,HH,010830204021,167.44897501960816
1974,453497,0.040406689204800075,0.45,HH,010872322001,112.56613468550742
2017,453540,0.0490927285315222,0.36,HH,010890012003,135.84587932511937
2095,453618,0.515523495220956,0.18,HH,010890101003,191.53650878428144
2098,453621,0.014620269012750717,0.04,HH,010890102002,275.0686071252169
2176,453699,1.0875052940653425,0.12,HH,010919730003,217.49867920660904
2391,453914,0.010930081109480145,0.46,HH,010970034022,110.04337205114699
2429,453952,0.3904121548073995,0.1,HH,010970037102,228.15515655446004
2430,453953,0.11664139354039119,0.33,HH,010970037103,143.99131656732337
2431,453954,0.27044730207059486,0.21,HH,010970038001,180.64212470182403
2439,453962,1.1128102949329604,0.09,HH,010970048001,234.07550336902165
2464,453987,0.006074057816798063,0.38,HH,010970058003,130.54807880993974
2502,454025,0.14262673761063765,0.27,HH,010970065021,161.28129910166274
2526,454049,0.05149354900848593,0.4,HH,010970070001,125.33471031357998
2527,454050,0.01641059814606703,0.37,HH,010970070002,133.18533464368167
2530,454053,0.193317110836299,0.38,HH,010970071012,130.54807880993974
2535,454058,0.13983765019927158,0.3,HH,010970072011,152.44005127080408
2557,454080,0.2604017379213795,0.37,HH,010990757002,133.18533464368167
2565,454088,0.006446473105894229,0.34,HH,010990759006,141.24631294414047
2685,454208,0.052281173776118475,0.38,HH,011010032006,130.54807880993974
2686,454209,0.07450047734970157,0.12,HH,011010033011,217.49867920660904
2687,454210,0.2454825254638346,0.24,HH,011010033012,170.63025628400874
2688,454211,0.24509278746774446,0.07,HH,011010033013,247.579102817917
2708,454231,0.28018381062565006,0.28,HH,011010054024,158.2841507271216
2711,454234,0.010199555537480129,0.24,HH,011010054033,170.63025628400874
2827,454350,0.6367478051766339,0.13,HH,011030053031,212.63911290388006
2830,454353,0.2426154772010402,0.21,HH,011030053042,180.64212470182403
2833,454356,0.2992644573267362,0.24,HH,011030054043,170.63025628400874
2849,454372,0.15466752099149264,0.33,HH,011030057024,143.99131656732337
3160,454683,0.6735586445960855,0.05,HH,011210115001,264.4853626951472
