idn,key,stat,p,group,name,z
49,451572,0.0011716864329091659,0.47,HH,010030106003,107.526986209983
88,451611,0.1282844058957745,0.19,HH,010030112024,187.7896295051229
231,451754,0.01812289410560384,0.47,HH,010150004003,107.526986209983
236,451759,0.07695377482314726,0.3,HH,010150007001,152.44005127080408
438,451961,0.33371317217752716,0.2,HH,010279589002,184.16212335729142
660,452183,0.028003841032371614,0.29,HH,010439654011,155.3384719555673
677,452200,0.41247327632696995,0.19,HH,010450201002,187.7896295051229
689,452212,1.4352088513509647,0.06,HH,010450207002,255.47735945968535
703,452226,0.10035478021957743,0.38,HH,010450211022,130.54807880993974
1530,453053,1.5232192873464965,0.1,HH,010730118024,228.15515655446004
1752,453275,0.37971883465183187,0.03,HH,010770110005,288.0793608151251
1764,453287,0.01052238426603377,0.41,HH,010770114001,122.75449766411496
1905,453428,0.0011484583974277368,0.47,HH,010830201013,107.526986209983
1906,453429,0.04652250624345264,0.39,HH,010830201021,127.93190344474542
1907,453430,0.14895217746930645,0.23,HH,010830201022,173.88468491852137
1908,453431,0.007503862228641434,0.46,HH,010830201023,110.04337205114699
1909,453432,0.011804534545105825,0.4,HH,010830201024,125.33471031357998
1911,453434,0.04931010055815111,0.14,HH,010830202012,208.0319340814956
1912,453435,0.00936229650644247,0.31,HH,010830202021,149.5850347347453
1921,453444,0.10067256393435045,0.13,HH,010830204021,212.63911290388006
2095,453618,0.3205827382746496,0.32,HH,010890101003,146.7698799114508
2098,453621,0.13675490129317786,0.06,HH,010890102002,255.47735945968535
2176,453699,0.7901772346132194,0.14,HH,010919730003,208.0319340814956
2429,453952,0.1994072649004471,0.21,HH,010970037102,180.64212470182403
2431,453954,0.07708443007630163,0.31,HH,010970038001,149.5850347347453
2439,453962,0.6634691339008629,0.18,HH,010970048001,191.53650878428144
2502,454025,0.20035438219928306,0.24,HH,010970065021,170.63025628400874
2528,454051,0.007292458276462789,0.27,HH,010970070003,161.28129910166274
2535,454058,0.16960244505774466,0.23,HH,010970072011,173.88468491852137
2557,454080,0.07963797747694257,0.35,HH,010990757002,138.5320466407568
2686,454209,0.025367852630893493,0.26,HH,011010033011,164.3345405392917
2687,454210,0.050583706886936405,0.46,HH,011010033012,110.04337205114699
2708,454231,0.0626818632051899,0.41,HH,011010054024,122.75449766411496
2827,454350,0.3852215652825218,0.24,HH,011030053031,170.63025628400874
2830,454353,0.0965692272520584,0.42,HH,011030053042,120.1893479141851
2833,454356,0.10835274395937347,0.31,HH,011030054043,149.5850347347453
2849,454372,0.026956283106558652,0.42,HH,011030057024,120.1893479141851
3160,454683,0.2677550854416026,0.05,HH,011210115001,264.4853626951472
3161,454684,1.3760235424046288,0.04,HH,011210115002,275.0686071252169
3180,454703,0.44159977666521416,0.22,HH,011239620002,177.21932141886847
3240,454763,0.7123010217021313,0.09,HH,011250104033,234.07550336902165
3242,454765,0.16221926620917737,0.23,HH,011250104042,173.88468491852137
3971,455494,0.7898389866321608,0.02,HH,022900004002,305.37489106318225
3972,455495,0.38873490498178365,0.04,HH,040019426001,275.0686071252169
3974,455497,1.356759244124555,0.1,HH,040019427001,228.15515655446004
3975,455498,7.013770169339543,0.01,HH,040019427002,332.6347874040841
3977,455500,0.5075041318855407,0.1,HH,040019427004,228.15515655446004
3978,455501,0.7366093589928402,0.07,HH,040019440001,247.579102817917
3979,455502,0.06013987491122745,0.12,HH,040019440002,217.49867920660904
3984,455507,1.4349544053558092,0.01,HH,040019441004,332.6347874040841
3985,455508,1.4720136471459941,0.04,HH,040019441005,275.0686071252169
