idn,key,stat,p,group,name,z
1,451524,0.1561180312483591,0.22,HH,010010201002,177.21932141886847
2,451525,0.07312122646174123,0.1,HH,010010202001,228.15515655446004
4,451527,0.16296485568068075,0.17,HH,010010203001,195.41652531461943
12,451535,0.8477906529435376,0.13,HH,010010205003,212.63911290388006
15,451538,1.87349828682222,0.01,HH,010010207001,332.6347874040841
20,451543,0.2467039537698022,0.21,HH,010010208022,180.64212470182403
22,451545,0.06770207843591848,0.2,HH,010010208024,184.16212335729142
26,451549,0.02975155413267135,0.34,HH,010010209004,141.24631294414047
34,451557,0.1073601659609606,0.44,HH,010030101003,115.09692154967775
37,451560,1.779540275227536,0.01,HH,010030103001,332.6347874040841
38,451561,2.939663039609668,0.02,HH,010030103002,305.37489106318225
41,451564,0.1577330847652005,0.31,HH,010030104002,149.5850347347453
47,451570,0.14759742337373416,0.43,HH,010030106001,117.63741647808615
59,451582,0.36950825413140154,0.29,HH,010030107052,155.3384719555673
61,451584,1.1233793664505476,0.02,HH,010030108001,305.37489106318225
62,451585,1.5415290927593108,0.12,HH,010030108002,217.49867920660904
63,451586,0.5222313323836624,0.05,HH,010030108003,264.4853626951472
65,451588,0.04685128602801717,0.44,HH,010030109032,115.09692154967775
77,451600,0.645771284299573,0.04,HH,010030110002,275.0686071252169
86,451609,0.06178521201234157,0.11,HH,010030112022,222.65281200366104
89,451612,0.2371303222459517,0.1,HH,010030113001,228.15515655446004
98,451621,7.788986712317354e-05,0.38,HH,010030114031,130.54807880993974
102,451625,0.9305694591941364,0.03,HH,010030114052,288.0793608151251
110,451633,0.3553526869957337,0.11,HH,010030115011,222.65281200366104
111,451634,0.15561342348228283,0.01,HH,010030115012,332.6347874040841
112,451635,0.8896977534416396,0.2,HH,010030115013,184.16212335729142
117,451640,1.6702682206947634,0.01,HH,010030116011,332.6347874040841
119,451642,0.2782604828399879,0.16,HH,010030116013,199.4457883209753
124,451647,0.19116699317433508,0.39,HH,010030116024,127.93190344474542
126,451649,0.21081759782018974,0.04,HH,010059501001,275.0686071252169
130,451653,0.008507696265051483,0.48,HH,010059502002,105.01535834647336
131,451654,0.22857716427620461,0.2,HH,010059502003,184.16212335729142
132,451655,1.575445505029086,0.1,HH,010059503001,228.15515655446004
133,451656,0.07601837360867304,0.13,HH,010059503002,212.63911290388006
134,451657,2.170914991815262,0.01,HH,010059504001,332.6347874040841
135,451658,0.3147754521004184,0.18,HH,010059504002,191.53650878428144
136,451659,1.2589603818233384,0.02,HH,010059504003,305.37489106318225
137,451660,0.44891859950593904,0.18,HH,010059505001,191.53650878428144
138,451661,0.2234006468211049,0.14,HH,010059505002,208.0319340814956
141,451664,1.1422139857431275,0.03,HH,010059506002,288.0793608151251
144,451667,1.0445900078056276,0.11,HH,010059508001,222.65281200366104
147,451670,0.16043991385799145,0.15,HH,010059509002,203.64333894937897
149,451672,0.39584036033388337,0.1,HH,010070100011,228.15515655446004
150,451673,0.19129586530744278,0.09,HH,010070100012,234.07550336902165
151,451674,0.46246856719992374,0.26,HH,010070100021,164.3345405392917
154,451677,0.05901249914413367,0.31,HH,010070100031,149.5850347347453
155,451678,0.1124388807882923,0.3,HH,010070100032,152.44005127080408
157,451680,0.23819590397438112,0.06,HH,010070100034,255.47735945968535
160,451683,0.0031771006291592438,0.19,HH,010070100043,187.7896295051229
174,451697,1.3249672449855283,0.15,HH,010090502002,203.64333894937897
179,451702,0.4077480053513874,0.29,HH,010090504001,155.3384719555673
183,451706,0.18006127457385815,0.09,HH,010090505001,234.07550336902165
186,451709,0.1635237458967033,0.11,HH,010090505004,222.65281200366104
