idn,key,stat,p,group,name,z
12,451535,0.33701382726942636,0.13,HH,010010205003,212.63911290388006
15,451538,2.260231686334225,0.01,HH,010010207001,332.6347874040841
32,451555,3.362395099030427,0.04,HH,010030101001,275.0686071252169
33,451556,3.055815165815626,0.02,HH,010030101002,305.37489106318225
34,451557,2.0826721330126374,0.01,HH,010030101003,332.6347874040841
36,451559,0.12402954939592105,0.14,HH,010030102002,208.0319340814956
37,451560,0.3137020823249957,0.02,HH,010030103001,305.37489106318225
38,451561,2.4307487913481247,0.08,HH,010030103002,240.5071560309633
56,451579,0.7506284724038131,0.14,HH,010030107041,208.0319340814956
59,451582,1.139810216228698,0.21,HH,010030107052,180.64212470182403
89,451612,1.6084528781755083,0.02,HH,010030113001,305.37489106318225
97,451620,0.11346355899861012,0.32,HH,010030114015,146.7698799114508
112,451635,0.127112836447902,0.18,HH,010030115013,191.53650878428144
113,451636,2.7405745644883828,0.02,HH,010030115021,305.37489106318225
114,451637,0.005389639738160396,0.28,HH,010030115022,158.2841507271216
117,451640,1.0519800329857256,0.04,HH,010030116011,275.0686071252169
131,451654,0.4845184474918061,0.12,HH,010059502003,217.49867920660904
132,451655,2.0562154287187413,0.04,HH,010059503001,275.0686071252169
133,451656,1.9064242199118773,0.02,HH,010059503002,305.37489106318225
134,451657,0.8049605946053578,0.08,HH,010059504001,240.5071560309633
137,451660,1.1693116966453911,0.02,HH,010059505001,305.37489106318225
138,451661,2.4412469845634326,0.06,HH,010059505002,255.47735945968535
141,451664,1.034235146550885,0.1,HH,010059506002,228.15515655446004
144,451667,0.1329287478531806,0.36,HH,010059508001,135.84587932511937
147,451670,1.8866175406352492,0.02,HH,010059509002,305.37489106318225
148,451671,0.5709108883200292,0.01,HH,010059509003,332.6347874040841
149,451672,2.1091015886508457,0.02,HH,010070100011,305.37489106318225
151,451674,1.5275363872253636,0.04,HH,010070100021,275.0686071252169
191,451714,0.47969023647105635,0.01,HH,010090506022,332.6347874040841
196,451719,3.2978317645059025,0.01,HH,010090507002,332.6347874040841
197,451720,4.099122699553892,0.01,HH,010090507003,332.6347874040841
200,451723,0.45231301936107127,0.14,HH,010119522001,208.0319340814956
206,451729,1.1380651470536567,0.07,HH,010139527001,247.579102817917
210,451733,0.12144634323384322,0.28,HH,010139529002,158.2841507271216
220,451743,0.6080943372120957,0.21,HH,010139533001,180.64212470182403
267,451790,0.6259914358048223,0.01,HH,010150016003,332.6347874040841
292,451815,0.021937104748293502,0.27,HH,010150022001,161.28129910166274
299,451822,0.5884372824689247,0.03,HH,010150023004,288.0793608151251
353,451876,0.00013422113588542933,0.26,HH,010199557022,164.3345405392917
369,451892,0.11206209639232612,0.48,HH,010210601012,105.01535834647336
370,451893,2.3879483152215735,0.06,HH,010210601013,255.47735945968535
404,451927,4.606824089753475,0.01,HH,010239568003,332.6347874040841
405,451928,1.37437774292848,0.01,HH,010239568004,332.6347874040841
406,451929,2.1252383346285253,0.04,HH,010239568005,275.0686071252169
407,451930,3.538461830975857,0.01,HH,010239569001,332.6347874040841
422,451945,0.07400042718944053,0.03,HH,010259577002,288.0793608151251
424,451947,0.9368549745870384,0.03,HH,010259578002,288.0793608151251
425,451948,0.3867104686798868,0.11,HH,010259578003,222.65281200366104
427,451950,3.9387820867113557,0.01,HH,010259578005,332.6347874040841
433,451956,2.2137829966807745,0.02,HH,010259579023,305.37489106318225
440,451963,5.800888621786958,0.01,HH,010279589004,332.6347874040841
560,452083,0.9156108046837709,0.05,HH,010379612002,264.4853626951472
562,452085,0.24103222371154806,0.02,HH,010379612004,305.37489106318225
563,452086,2.572566219649007,0.06,HH,010399616001,255.47735945968535
564,452087,1.502905822194595,0.01,HH,010399616002,332.6347874040841
565,452088,2.1356444108933226,0.04,HH,010399616003,275.0686071252169
566,452089,0.49594788362340764,0.01,HH,010399616004,332.6347874040841
567,452090,1.3905635674783086,0.04,HH,010399617001,275.0686071252169
573,452096,1.6579657162576555,0.02,HH,010399619002,305.37489106318225
574,452097,0.7116078820316585,0.07,HH,010399620001,247.579102817917
575,452098,0.37513412807333923,0.3,HH,010399620002,152.44005127080408
578,452101,1.9183442122023566,0.04,HH,010399621001,275.0686071252169
602,452125,0.01832058799988204,0.33,HH,010419634002,143.99131656732337
619,452142,0.8289044028720818,0.04,HH,010439642004,275.0686071252169
630,452153,0.465292418162752,0.09,HH,010439645003,234.07550336902165
641,452164,1.1411946458909248,0.02,HH,010439649001,305.37489106318225
643,452166,0.4351277866792541,0.18,HH,010439649003,191.53650878428144
659,452182,0.1823062977477234,0.31,HH,010439653003,149.5850347347453
