idn,key,stat,p,group,name,z
2,451525,0.02519695023065408,0.18,HH,010010202001,191.53650878428144
6,451529,0.24883515953577456,0.25,HH,010010204001,167.44897501960816
7,451530,5.172963814175787,0.01,HH,010010204002,332.6347874040841
9,451532,2.2014560538166243,0.01,HH,010010204004,332.6347874040841
11,451534,1.0126475488847544,0.06,HH,010010205002,255.47735945968535
12,451535,1.575294272568446,0.2,HH,010010205003,184.16212335729142
13,451536,0.04190419275997112,0.13,HH,010010206001,212.63911290388006
14,451537,0.1771506194762278,0.29,HH,010010206002,155.3384719555673
18,451541,0.046614449233001454,0.46,HH,010010208012,110.04337205114699
19,451542,0.00360825246879787,0.33,HH,010010208021,143.99131656732337
20,451543,0.010520661843226302,0.41,HH,010010208022,122.75449766411496
23,451546,0.007668241253925922,0.36,HH,010010209001,135.84587932511937
26,451549,0.2613508530193501,0.15,HH,010010209004,203.64333894937897
28,451551,0.09010277930169378,0.31,HH,010010210002,149.5850347347453
34,451557,0.07972331594628439,0.43,HH,010030101003,117.63741647808615
35,451558,7.361888741430388,0.01,HH,010030102001,332.6347874040841
36,451559,4.49353092019377,0.01,HH,010030102002,332.6347874040841
45,451568,3.4292219761138147,0.01,HH,010030105003,332.6347874040841
49,451572,0.06632887177295389,0.42,HH,010030106003,120.1893479141851
50,451573,5.956317439883886,0.01,HH,010030107011,332.6347874040841
51,451574,1.0497784333608966,0.01,HH,010030107012,332.6347874040841
53,451576,1.6894334179712232,0.01,HH,010030107014,332.6347874040841
54,451577,2.129557240679299,0.01,HH,010030107031,332.6347874040841
56,451579,0.09732366561842738,0.3,HH,010030107041,152.44005127080408
57,451580,2.453942581956739,0.06,HH,010030107042,255.47735945968535
58,451581,2.328153731332226,0.01,HH,010030107051,332.6347874040841
59,451582,7.86942361447575,0.01,HH,010030107052,332.6347874040841
64,451587,13.178212737368616,0.01,HH,010030109031,332.6347874040841
73,451596,0.20003007842186252,0.2,HH,010030109061,184.16212335729142
75,451598,0.057584158529859125,0.36,HH,010030109063,135.84587932511937
79,451602,0.06526324599603216,0.33,HH,010030111012,143.99131656732337
81,451604,0.2947141293947138,0.29,HH,010030111021,155.3384719555673
82,451605,0.022039210885094456,0.29,HH,010030111022,155.3384719555673
88,451611,0.29685035370497737,0.13,HH,010030112024,212.63911290388006
104,451627,0.47746162465389796,0.18,HH,010030114062,191.53650878428144
107,451630,0.06825397350522255,0.29,HH,010030114072,155.3384719555673
119,451642,0.09685921507712326,0.32,HH,010030116013,146.7698799114508
120,451643,0.1932493095493134,0.04,HH,010030116014,275.0686071252169
122,451645,0.15102075391716865,0.27,HH,010030116022,161.28129910166274
126,451649,0.1495904674586018,0.3,HH,010059501001,152.44005127080408
128,451651,3.4008525114352413,0.02,HH,010059501003,305.37489106318225
130,451653,4.865967347147462,0.01,HH,010059502002,332.6347874040841
131,451654,0.44181166588168846,0.01,HH,010059502003,332.6347874040841
139,451662,0.026794422211313604,0.35,HH,010059505003,138.5320466407568
140,451663,0.0369632362039633,0.35,HH,010059506001,138.5320466407568
142,451665,0.5720265170852646,0.34,HH,010059507001,141.24631294414047
143,451666,0.20512906880705603,0.16,HH,010059507002,199.4457883209753
146,451669,3.037087988820568,0.03,HH,010059509001,288.0793608151251
157,451680,0.1683733606543721,0.16,HH,010070100034,199.4457883209753
170,451693,0.2712840202401911,0.24,HH,010090501022,170.63025628400874
172,451695,0.22033561858080256,0.33,HH,010090501024,143.99131656732337
174,451697,0.13933308849474915,0.34,HH,010090502002,141.24631294414047
176,451699,0.10522262476408974,0.39,HH,010090503002,127.93190344474542
189,451712,0.22418414776018503,0.19,HH,010090506012,187.7896295051229
191,451714,0.7128886435109364,0.03,HH,010090506022,288.0793608151251
193,451716,0.1121404553193697,0.16,HH,010090506024,199.4457883209753
199,451722,1.4013638391571568,0.05,HH,010119521001,264.4853626951472
207,451730,2.033936896215484,0.05,HH,010139527002,264.4853626951472
217,451740,3.8163035013374116,0.04,HH,010139532002,275.0686071252169
257,451780,0.012206972963805187,0.46,HH,010150013002,110.04337205114699
259,451782,0.025113186244592287,0.43,HH,010150014002,117.63741647808615
267,451790,1.4766860618385755,0.01,HH,010150016003,332.6347874040841
269,451792,6.210053492970304,0.01,HH,010150017001,332.6347874040841
270,451793,3.7839459155088884,0.04,HH,010150017002,275.0686071252169
271,451794,1.2665991185253869,0.01,HH,010150017003,332.6347874040841
274,451797,0.08496974146671314,0.21,HH,010150018002,180.64212470182403
275,451798,0.017486247851233854,0.17,HH,010150018003,195.41652531461943
280,451803,0.0025905576861308174,0.47,HH,010150020002,107.526986209983
299,451822,1.4206364591795018,0.05,HH,010150023004,264.4853626951472
301,451824,4.445877324090643,0.01,HH,010150024002,332.6347874040841
303,451826,0.8164624816099945,0.02,HH,010150025012,305.37489106318225
310,451833,0.32342621464991067,0.18,HH,010150026001,191.53650878428144
316,451839,1.822050096092644e-05,0.4,HH,010179538001,125.33471031357998
320,451843,0.09120090415991898,0.27,HH,010179539002,161.28129910166274
323,451846,0.08984703126521348,0.17,HH,010179540001,195.41652531461943
324,451847,0.6392921365178358,0.21,HH,010179540002,180.64212470182403
326,451849,0.3782866922437781,0.28,HH,010179540004,158.2841507271216
327,451850,0.7699575281826574,0.05,HH,010179540005,264.4853626951472
328,451851,0.29452407446018,0.14,HH,010179540006,208.0319340814956
329,451852,0.7974432024583201,0.07,HH,010179542001,247.579102817917
332,451855,0.03842423205353816,0.43,HH,010179543001,117.63741647808615
334,451857,0.010459002456096057,0.45,HH,010179543003,112.56613468550742
339,451862,0.2515049028434456,0.23,HH,010179545002,173.88468491852137
340,451863,0.02801401053564638,0.39,HH,010179545003,127.93190344474542
353,451876,0.5656730414410249,0.03,HH,010199557022,288.0793608151251
361,451884,0.25566609191370016,0.29,HH,010199560001,155.3384719555673
390,451913,0.005414198714095575,0.41,HH,010210605002,122.75449766411496
391,451914,1.8150396108660816,0.1,HH,010210605003,228.15515655446004
396,451919,0.002701642174677428,0.43,HH,010210607003,117.63741647808615
397,451920,0.008232247871628493,0.28,HH,010210607004,158.2841507271216
405,451928,0.28873964357962895,0.05,HH,010239568004,264.4853626951472
406,451929,0.3501842880074178,0.05,HH,010239568005,264.4853626951472
411,451934,0.1270736055557659,0.27,HH,010239570001,161.28129910166274
414,451937,0.007455886025029348,0.38,HH,010259575002,130.54807880993974
417,451940,0.013481713180405235,0.41,HH,010259576022,122.75449766411496
419,451942,1.0008694332135055,0.02,HH,010259576024,305.37489106318225
423,451946,1.1987343919815645,0.01,HH,010259578001,332.6347874040841
424,451947,1.2097998933230922,0.01,HH,010259578002,332.6347874040841
425,451948,0.4507679779101249,0.01,HH,010259578003,332.6347874040841
426,451949,2.183532076203384,0.01,HH,010259578004,332.6347874040841
430,451953,0.0689724812405075,0.37,HH,010259579012,133.18533464368167
432,451955,0.013755782815342319,0.44,HH,010259579022,115.09692154967775
433,451956,1.115823643621773,0.01,HH,010259579023,332.6347874040841
435,451958,0.37667402569939357,0.09,HH,010259580011,234.07550336902165
436,451959,0.02452138242480813,0.5,HH,010259580021,100.0
437,451960,1.4056465378920937,0.03,HH,010279589001,288.0793608151251
438,451961,0.08027789588651904,0.19,HH,010279589002,187.7896295051229
439,451962,0.21743086219723623,0.02,HH,010279589003,305.37489106318225
441,451964,1.0768492095748825,0.03,HH,010279590001,288.0793608151251
469,451992,0.03453175309305973,0.22,HH,010310105001,177.21932141886847
474,451997,0.05026659294812212,0.19,HH,010310106001,187.7896295051229
476,451999,0.30211146717840953,0.15,HH,010310107001,203.64333894937897
477,452000,0.1371232355791822,0.24,HH,010310108001,170.63025628400874
480,452003,0.08286988889497002,0.38,HH,010310109002,130.54807880993974
484,452007,0.004387497561187931,0.27,HH,010310112011,161.28129910166274
489,452012,0.023908286832850886,0.46,HH,010310112023,110.04337205114699
496,452019,0.7728966762848667,0.01,HH,010330201003,332.6347874040841
504,452027,0.061414886346921486,0.33,HH,010330204002,143.99131656732337
506,452029,0.016390829019134637,0.37,HH,010330205002,133.18533464368167
508,452031,0.09760519463874481,0.2,HH,010330205004,184.16212335729142
509,452032,0.2548463539822379,0.12,HH,010330206001,217.49867920660904
521,452044,0.5262153589856896,0.06,HH,010330207043,255.47735945968535
528,452051,0.3574961266713073,0.13,HH,010330208023,212.63911290388006
530,452053,0.2608745363454432,0.36,HH,010330209012,135.84587932511937
535,452058,0.01397382484968763,0.41,HH,010330209024,122.75449766411496
548,452071,0.26033691188361824,0.25,HH,010359605002,167.44897501960816
549,452072,0.14241697102623815,0.27,HH,010359606001,161.28129910166274
569,452092,2.204790341089515,0.05,HH,010399617003,264.4853626951472
570,452093,1.6260926517388958,0.02,HH,010399618001,305.37489106318225
572,452095,2.1556776669573177,0.01,HH,010399619001,332.6347874040841
574,452097,5.477168129070374,0.01,HH,010399620001,332.6347874040841
575,452098,0.025655226135630208,0.38,HH,010399620002,130.54807880993974
576,452099,1.5954346628478648,0.06,HH,010399620003,255.47735945968535
589,452112,0.17205682272162137,0.07,HH,010399626001,247.579102817917
590,452113,0.7629986921555796,0.01,HH,010399626002,332.6347874040841
597,452120,0.18020255516470982,0.21,HH,010399630001,180.64212470182403
600,452123,0.2861759560830523,0.24,HH,010399630004,170.63025628400874
602,452125,0.03981310124414751,0.2,HH,010419634002,184.16212335729142
607,452130,0.626907651870346,0.18,HH,010419637001,191.53650878428144
608,452131,0.29207358457611526,0.05,HH,010419637002,264.4853626951472
610,452133,0.35025030269778334,0.13,HH,010419639001,212.63911290388006
611,452134,0.03862776518613314,0.45,HH,010439641001,112.56613468550742
612,452135,0.04755296220996869,0.29,HH,010439641002,155.3384719555673
613,452136,0.5156355206698164,0.09,HH,010439641003,234.07550336902165
614,452137,0.628960121343636,0.08,HH,010439641004,240.5071560309633
630,452153,0.0007000510622855382,0.48,HH,010439645003,105.01535834647336
640,452163,0.03457416206241551,0.3,HH,010439648004,152.44005127080408
641,452164,0.03654227662753042,0.38,HH,010439649001,130.54807880993974
642,452165,0.0007326924002621671,0.34,HH,010439649002,141.24631294414047
644,452167,0.035212440485047694,0.42,HH,010439649004,120.1893479141851
653,452176,0.03549876765715368,0.31,HH,010439651001,149.5850347347453
654,452177,0.3136479635853091,0.07,HH,010439651002,247.579102817917
671,452194,2.64915536733887,0.03,HH,010439657001,288.0793608151251
709,452232,2.6857410476283614,0.01,HH,010450213002,332.6347874040841
710,452233,2.033447577394738,0.01,HH,010450213003,332.6347874040841
716,452239,0.17991500295458696,0.25,HH,010479561001,167.44897501960816
717,452240,0.010961413485588597,0.44,HH,010479561002,115.09692154967775
722,452245,0.01162016915698678,0.45,HH,010479562012,112.56613468550742
727,452250,0.41342761287493607,0.02,HH,010479564001,305.37489106318225
728,452251,1.3590658360417283,0.07,HH,010479564002,247.579102817917
729,452252,0.16105927299026612,0.08,HH,010479564003,240.5071560309633
733,452256,0.5112397126054958,0.26,HH,010479565004,164.3345405392917
734,452257,0.3003266359485339,0.11,HH,010479566001,222.65281200366104
735,452258,0.2277377118698434,0.12,HH,010479566002,217.49867920660904
739,452262,0.10797320166606979,0.14,HH,010479567021,208.0319340814956
740,452263,0.026080070718898007,0.1,HH,010479568001,228.15515655446004
741,452264,0.017806568740596617,0.49,HH,010479568002,102.50689082587111
742,452265,0.11645890062680328,0.17,HH,010479568003,195.41652531461943
747,452270,0.14879340893281498,0.16,HH,010479571001,199.4457883209753
749,452272,0.026068227220189012,0.43,HH,010479572001,117.63741647808615
755,452278,0.1713553659343671,0.21,HH,010499601001,180.64212470182403
763,452286,4.74446842953922,0.01,HH,010499603001,332.6347874040841
769,452292,0.6999500369832491,0.03,HH,010499604002,288.0793608151251
771,452294,3.277248005636825,0.01,HH,010499604004,332.6347874040841
772,452295,2.930519617081045,0.02,HH,010499604005,305.37489106318225
773,452296,1.0982068863855599,0.03,HH,010499605001,288.0793608151251
774,452297,1.0322704152389097,0.02,HH,010499605002,305.37489106318225
775,452298,0.0130586830723022,0.42,HH,010499605003,120.1893479141851
787,452310,0.14265559470170064,0.03,HH,010499608003,288.0793608151251
791,452314,0.3953152541466716,0.14,HH,010499609004,208.0319340814956
792,452315,0.41294529251484224,0.24,HH,010499610001,170.63025628400874
804,452327,0.2982377301220548,0.22,HH,010499613005,177.21932141886847
809,452332,0.21214639619481027,0.08,HH,010510301002,240.5071560309633
836,452359,0.3930588543088146,0.12,HH,010510308002,217.49867920660904
839,452362,0.6640703691995515,0.03,HH,010510309011,288.0793608151251
845,452368,0.11163475686789052,0.21,HH,010510310002,180.64212470182403
875,452398,0.018721694115987533,0.38,HH,010539705004,130.54807880993974
891,452414,0.025295359301538763,0.03,HH,010550004002,288.0793608151251
892,452415,1.4144905832137968,0.01,HH,010550004003,332.6347874040841
893,452416,0.00183943054439511,0.36,HH,010550004004,135.84587932511937
894,452417,2.4894402497682746,0.04,HH,010550004005,275.0686071252169
895,452418,3.3620532425235066,0.03,HH,010550005001,288.0793608151251
896,452419,1.8184254482751885,0.02,HH,010550005002,305.37489106318225
906,452429,0.0661109616487463,0.21,HH,010550009003,180.64212470182403
912,452435,0.48340944627112453,0.13,HH,010550012001,212.63911290388006
915,452438,0.9180742983472241,0.06,HH,010550013001,255.47735945968535
919,452442,0.13244863481423658,0.28,HH,010550016002,158.2841507271216
