idn,key,stat,p,group,name,z
12,451535,0.10885435434810349,0.17,HH,010010205003,195.41652531461943
15,451538,1.0698913469180487,0.04,HH,010010207001,275.0686071252169
32,451555,3.3707423423364986,0.03,HH,010030101001,288.0793608151251
33,451556,4.26212294871784,0.01,HH,010030101002,332.6347874040841
34,451557,3.0259461489460104,0.01,HH,010030101003,332.6347874040841
36,451559,0.18858964200802164,0.06,HH,010030102002,255.47735945968535
37,451560,0.17817972674213284,0.05,HH,010030103001,264.4853626951472
38,451561,1.099738302367931,0.11,HH,010030103002,222.65281200366104
51,451574,0.012648901133198375,0.3,HH,010030107012,152.44005127080408
56,451579,0.38314263232126383,0.13,HH,010030107041,212.63911290388006
59,451582,0.44361516481996544,0.25,HH,010030107052,167.44897501960816
89,451612,0.7231995974361847,0.05,HH,010030113001,264.4853626951472
97,451620,0.20243631364050174,0.33,HH,010030114015,143.99131656732337
112,451635,0.03360424400969448,0.23,HH,010030115013,173.88468491852137
113,451636,1.4578606906731486,0.07,HH,010030115021,247.579102817917
117,451640,0.5208865223971221,0.08,HH,010030116011,240.5071560309633
131,451654,0.17668450581253695,0.17,HH,010059502003,195.41652531461943
132,451655,1.1276855095302067,0.06,HH,010059503001,255.47735945968535
133,451656,1.0913453943415239,0.06,HH,010059503002,255.47735945968535
134,451657,0.4117217140650995,0.1,HH,010059504001,228.15515655446004
137,451660,0.4962643127818727,0.13,HH,010059505001,212.63911290388006
138,451661,1.1886756098042,0.09,HH,010059505002,234.07550336902165
141,451664,0.7796475771704731,0.09,HH,010059506002,234.07550336902165
144,451667,0.012359534442071262,0.42,HH,010059508001,120.1893479141851
147,451670,0.8856635152366411,0.06,HH,010059509002,255.47735945968535
148,451671,0.208014008014856,0.03,HH,010059509003,288.0793608151251
149,451672,1.663658640744963,0.04,HH,010070100011,275.0686071252169
151,451674,0.6932003659733311,0.1,HH,010070100021,228.15515655446004
191,451714,0.20235800514291843,0.03,HH,010090506022,288.0793608151251
196,451719,2.0346405778392187,0.03,HH,010090507002,288.0793608151251
197,451720,5.161525975742809,0.01,HH,010090507003,332.6347874040841
200,451723,0.21524782912748258,0.19,HH,010119522001,187.7896295051229
206,451729,0.4548838190972951,0.15,HH,010139527001,203.64333894937897
210,451733,0.019965040086567763,0.37,HH,010139529002,133.18533464368167
220,451743,0.4817768388086254,0.22,HH,010139533001,177.21932141886847
267,451790,0.5234827208592265,0.02,HH,010150016003,305.37489106318225
292,451815,0.0029232283791106113,0.32,HH,010150022001,146.7698799114508
299,451822,0.34895901684792296,0.02,HH,010150023004,305.37489106318225
370,451893,1.2915834961119068,0.1,HH,010210601013,228.15515655446004
404,451927,3.1198174864953043,0.01,HH,010239568003,332.6347874040841
405,451928,0.8557425843170046,0.01,HH,010239568004,332.6347874040841
406,451929,1.037841727796909,0.05,HH,010239568005,264.4853626951472
407,451930,2.3068496939395158,0.01,HH,010239569001,332.6347874040841
424,451947,0.40143674167835747,0.04,HH,010259578002,275.0686071252169
425,451948,0.14641127527612446,0.13,HH,010259578003,212.63911290388006
427,451950,4.640790586536485,0.05,HH,010259578005,264.4853626951472
433,451956,2.278147630224444,0.02,HH,010259579023,305.37489106318225
440,451963,4.060998353113809,0.02,HH,010279589004,305.37489106318225
560,452083,0.36628147513489223,0.12,HH,010379612002,217.49867920660904
562,452085,0.2006114255881691,0.11,HH,010379612004,222.65281200366104
563,452086,1.6619598237543596,0.08,HH,010399616001,240.5071560309633
564,452087,0.7821097957361204,0.05,HH,010399616002,264.4853626951472
565,452088,0.9995960041636285,0.1,HH,010399616003,228.15515655446004
566,452089,0.15849044898584322,0.02,HH,010399616004,305.37489106318225
567,452090,0.5911322048887842,0.11,HH,010399617001,222.65281200366104
573,452096,1.0615115064907,0.08,HH,010399619002,240.5071560309633
574,452097,0.3765303954370106,0.07,HH,010399620001,247.579102817917
575,452098,0.1221253343288678,0.25,HH,010399620002,167.44897501960816
578,452101,1.5559372783597045,0.04,HH,010399621001,275.0686071252169
619,452142,0.3437649155293481,0.12,HH,010439642004,217.49867920660904
630,452153,0.1914443509143205,0.11,HH,010439645003,222.65281200366104
641,452164,0.8282962341574777,0.04,HH,010439649001,275.0686071252169
643,452166,0.15438085243005276,0.28,HH,010439649003,158.2841507271216
659,452182,0.0683897737502286,0.3,HH,010439653003,152.44005127080408
670,452193,0.05748841991957851,0.33,HH,010439656002,143.99131656732337
711,452234,2.124903777096071,0.01,HH,010450213004,332.6347874040841
