idn,key,stat,p,group,name,z
0,451523,0.028913596054674907,0.3,HH,010010201001,152.44005127080408
5,451528,1.9758934459543671,0.01,HH,010010203002,332.6347874040841
6,451529,0.9712676142334009,0.03,HH,010010204001,288.0793608151251
7,451530,4.24450694030742,0.01,HH,010010204002,332.6347874040841
9,451532,2.025758103553834,0.01,HH,010010204004,332.6347874040841
11,451534,1.410540307741746,0.05,HH,010010205002,264.4853626951472
12,451535,0.27710817068307625,0.26,HH,010010205003,164.3345405392917
13,451536,0.4028426628262925,0.03,HH,010010206001,288.0793608151251
16,451539,1.021572845690497,0.1,HH,010010207002,228.15515655446004
18,451541,0.059469344785115764,0.4,HH,010010208012,125.33471031357998
24,451547,1.1715797971642603,0.28,HH,010010209002,158.2841507271216
25,451548,1.5991674619059584,0.05,HH,010010209003,264.4853626951472
27,451550,0.1371900228003459,0.35,HH,010010210001,138.5320466407568
28,451551,0.20448440344072769,0.14,HH,010010210002,208.0319340814956
30,451553,0.00685811762234951,0.4,HH,010010211002,125.33471031357998
32,451555,0.7088340440311665,0.01,HH,010030101001,332.6347874040841
34,451557,0.35060233518675377,0.21,HH,010030101003,180.64212470182403
35,451558,3.9077812275171286,0.01,HH,010030102001,332.6347874040841
36,451559,5.66856821978206,0.01,HH,010030102002,332.6347874040841
42,451565,0.036451746534834406,0.41,HH,010030104003,122.75449766411496
44,451567,0.2966999781389369,0.05,HH,010030105002,264.4853626951472
45,451568,1.1516901647402547,0.01,HH,010030105003,332.6347874040841
49,451572,0.6758981546014279,0.04,HH,010030106003,275.0686071252169
50,451573,2.7731335764118903,0.01,HH,010030107011,332.6347874040841
51,451574,1.1827340796045598,0.01,HH,010030107012,332.6347874040841
54,451577,1.5522305079905998,0.02,HH,010030107031,305.37489106318225
58,451581,1.7440711204174957,0.08,HH,010030107051,240.5071560309633
59,451582,2.156588332645377,0.01,HH,010030107052,332.6347874040841
64,451587,5.425644604471544,0.01,HH,010030109031,332.6347874040841
69,451592,0.26972687071255447,0.42,HH,010030109043,120.1893479141851
70,451593,0.4302836594618069,0.18,HH,010030109051,191.53650878428144
71,451594,0.622456635401859,0.05,HH,010030109052,264.4853626951472
74,451597,0.45052154044266973,0.07,HH,010030109062,247.579102817917
75,451598,1.1270498353015639,0.04,HH,010030109063,275.0686071252169
76,451599,0.43802755738042554,0.09,HH,010030110001,234.07550336902165
78,451601,0.6425470622604471,0.01,HH,010030111011,332.6347874040841
80,451603,3.268527381970565,0.01,HH,010030111013,332.6347874040841
82,451605,0.9151548869861532,0.01,HH,010030111022,332.6347874040841
83,451606,0.032511921060091334,0.34,HH,010030112011,141.24631294414047
84,451607,2.617373990256186,0.02,HH,010030112012,305.37489106318225
91,451614,0.0006241790679830695,0.47,HH,010030113003,107.526986209983
101,451624,0.04866412590057207,0.22,HH,010030114051,177.21932141886847
104,451627,1.3581671843383236,0.09,HH,010030114062,234.07550336902165
105,451628,0.07449278377459695,0.1,HH,010030114063,228.15515655446004
107,451630,0.1837717167428974,0.48,HH,010030114072,105.01535834647336
108,451631,0.25757106951353526,0.35,HH,010030114073,138.5320466407568
120,451643,0.8407260935550087,0.01,HH,010030116014,332.6347874040841
121,451644,0.7399274250282087,0.16,HH,010030116021,199.4457883209753
122,451645,0.15844621608572823,0.09,HH,010030116022,234.07550336902165
125,451648,0.6759680956906629,0.02,HH,010039900000,305.37489106318225
128,451651,6.150958491306137,0.02,HH,010059501003,305.37489106318225
130,451653,3.5360836353768854,0.04,HH,010059502002,275.0686071252169
131,451654,0.0970929208805291,0.03,HH,010059502003,288.0793608151251
146,451669,3.15883750432895,0.02,HH,010059509001,305.37489106318225
167,451690,0.4222948823614068,0.13,HH,010090501014,212.63911290388006
169,451692,1.0713168463284228,0.04,HH,010090501021,275.0686071252169
170,451693,0.9083277117472294,0.1,HH,010090501022,228.15515655446004
