idn,key,stat,p,group,name,z
13,451536,0.36618617809888226,0.09,HH,010010206001,234.07550336902165
24,451547,0.059415665187695095,0.42,HH,010010209002,120.1893479141851
29,451552,0.0092920937408795,0.41,HH,010010211001,122.75449766411496
31,451554,0.09719038814167856,0.18,HH,010010211003,191.53650878428144
32,451555,0.36020953264884026,0.08,HH,010030101001,240.5071560309633
35,451558,0.09345117734162428,0.08,HH,010030102001,240.5071560309633
39,451562,0.18185665355679875,0.23,HH,010030103003,173.88468491852137
41,451564,0.30832942023034393,0.11,HH,010030104002,222.65281200366104
42,451565,0.12629269791546588,0.08,HH,010030104003,240.5071560309633
43,451566,0.035936229821463585,0.31,HH,010030105001,149.5850347347453
44,451567,0.10101867694267233,0.33,HH,010030105002,143.99131656732337
60,451583,0.023017398854366093,0.32,HH,010030107053,146.7698799114508
65,451588,0.06819376695294002,0.26,HH,010030109032,164.3345405392917
67,451590,0.120565486123609,0.18,HH,010030109041,191.53650878428144
85,451608,0.016653155759723128,0.39,HH,010030112021,127.93190344474542
90,451613,0.23728185414440553,0.04,HH,010030113002,275.0686071252169
97,451620,0.21100829245901595,0.1,HH,010030114015,228.15515655446004
98,451621,0.061450351953890515,0.09,HH,010030114031,234.07550336902165
99,451622,0.2206073206628287,0.28,HH,010030114032,158.2841507271216
102,451625,0.45626462151396485,0.03,HH,010030114052,288.0793608151251
106,451629,0.01287897285459674,0.4,HH,010030114071,125.33471031357998
117,451640,0.1765550788878433,0.12,HH,010030116011,217.49867920660904
121,451644,0.18561505082227467,0.25,HH,010030116021,167.44897501960816
124,451647,0.49539003265433745,0.18,HH,010030116024,191.53650878428144
148,451671,0.44960207109597117,0.19,HH,010059509003,187.7896295051229
152,451675,0.15172192032963783,0.42,HH,010070100022,120.1893479141851
159,451682,0.20997947902260647,0.42,HH,010070100042,120.1893479141851
163,451686,0.027355721545585302,0.32,HH,010070100046,146.7698799114508
165,451688,0.061764404905714776,0.32,HH,010090501012,146.7698799114508
167,451690,0.010845318936183332,0.24,HH,010090501014,170.63025628400874
168,451691,0.07296470461282456,0.31,HH,010090501015,149.5850347347453
173,451696,0.06276751130288863,0.22,HH,010090502001,177.21932141886847
180,451703,0.06684329359180005,0.02,HH,010090504002,305.37489106318225
185,451708,0.009370633026713303,0.38,HH,010090505003,130.54807880993974
190,451713,0.07720090012678367,0.23,HH,010090506021,173.88468491852137
192,451715,0.20970500434741032,0.23,HH,010090506023,173.88468491852137
195,451718,0.3636796127717523,0.25,HH,010090507001,167.44897501960816
202,451725,0.17867988363915663,0.11,HH,010119522003,222.65281200366104
204,451727,0.07356101113641583,0.41,HH,010119525002,122.75449766411496
206,451729,0.20455172520613238,0.05,HH,010139527001,264.4853626951472
209,451732,0.00021020786563824141,0.42,HH,010139529001,120.1893479141851
211,451734,0.10705479489049628,0.2,HH,010139530001,184.16212335729142
212,451735,0.037076211927920516,0.37,HH,010139530002,133.18533464368167
216,451739,0.0006841840699559166,0.45,HH,010139532001,112.56613468550742
219,451742,0.2053037570918616,0.24,HH,010139532004,170.63025628400874
222,451745,0.21088490340050547,0.1,HH,010139534001,228.15515655446004
227,451750,0.06002627003244854,0.36,HH,010150003001,135.84587932511937
231,451754,0.023454208520453837,0.23,HH,010150004003,173.88468491852137
240,451763,0.19074667323991548,0.28,HH,010150009001,158.2841507271216
244,451767,0.02900553543836989,0.23,HH,010150010002,173.88468491852137
248,451771,0.019197549079286263,0.31,HH,010150011002,149.5850347347453
249,451772,0.18347043082455375,0.19,HH,010150011003,187.7896295051229
253,451776,0.02994248995259548,0.46,HH,010150012021,110.04337205114699
254,451777,0.12850757580327793,0.16,HH,010150012022,199.4457883209753
260,451783,0.38787692622534414,0.13,HH,010150014003,212.63911290388006
263,451786,0.08884193249515321,0.32,HH,010150015002,146.7698799114508
264,451787,0.050546068988816244,0.41,HH,010150015003,122.75449766411496
265,451788,0.355565918411893,0.08,HH,010150016001,240.5071560309633
266,451789,0.07496503941946438,0.33,HH,010150016002,143.99131656732337
267,451790,1.0826783678854603,0.08,HH,010150016003,240.5071560309633
268,451791,0.25215737822416745,0.12,HH,010150016004,217.49867920660904
271,451794,0.009807023629487436,0.32,HH,010150017003,146.7698799114508
272,451795,0.16503250701026498,0.2,HH,010150017004,184.16212335729142
276,451799,0.009800446592406009,0.44,HH,010150018004,115.09692154967775
279,451802,0.11534031104044445,0.35,HH,010150020001,138.5320466407568
282,451805,0.007592004324288435,0.37,HH,010150020004,133.18533464368167
289,451812,0.13760590142493845,0.06,HH,010150021031,255.47735945968535
290,451813,0.1587616062976413,0.27,HH,010150021032,161.28129910166274
291,451814,0.05336934297125283,0.33,HH,010150021033,143.99131656732337
293,451816,0.6733035411613388,0.04,HH,010150022002,275.0686071252169
298,451821,0.12719276850391556,0.08,HH,010150023003,240.5071560309633
299,451822,1.1279408361709609,0.2,HH,010150023004,184.16212335729142
301,451824,0.0470936789605869,0.04,HH,010150024002,275.0686071252169
303,451826,3.0685738793186683,0.02,HH,010150025012,305.37489106318225
304,451827,0.1321446594640468,0.2,HH,010150025013,184.16212335729142
306,451829,0.7613016523347189,0.13,HH,010150025021,212.63911290388006
308,451831,0.002115425274822826,0.18,HH,010150025023,191.53650878428144
310,451833,0.009935456983292143,0.33,HH,010150026001,143.99131656732337
313,451836,0.11534022825220146,0.22,HH,010159819011,177.21932141886847
318,451841,0.4276120910169285,0.11,HH,010179538003,222.65281200366104
319,451842,0.36604067159155357,0.24,HH,010179539001,170.63025628400874
320,451843,0.0891620223491187,0.3,HH,010179539002,152.44005127080408
336,451859,0.02417889922572579,0.33,HH,010179543005,143.99131656732337
344,451867,0.1362554220363583,0.32,HH,010179546003,146.7698799114508
346,451869,0.058977969548823166,0.22,HH,010179547002,177.21932141886847
347,451870,0.19262874594066473,0.29,HH,010179547003,155.3384719555673
350,451873,0.06693206974967948,0.09,HH,010199557012,234.07550336902165
351,451874,0.056261074499817695,0.46,HH,010199557013,110.04337205114699
356,451879,0.34245582067677927,0.11,HH,010199558003,222.65281200366104
357,451880,1.0682434035391586,0.02,HH,010199558004,305.37489106318225
358,451881,0.23368650793949483,0.05,HH,010199559001,264.4853626951472
359,451882,0.5998527404086058,0.23,HH,010199559002,173.88468491852137
360,451883,0.2184528027410121,0.03,HH,010199559003,288.0793608151251
367,451890,0.14284243522263804,0.25,HH,010199561004,167.44897501960816
370,451893,0.3779734094134699,0.03,HH,010210601013,288.0793608151251
371,451894,0.3359834971096318,0.13,HH,010210601014,212.63911290388006
372,451895,1.0631754742284896,0.02,HH,010210601021,305.37489106318225
373,451896,0.2330669850884774,0.09,HH,010210601022,234.07550336902165
374,451897,0.5860625285371122,0.07,HH,010210601023,247.579102817917
376,451899,0.038651392148125074,0.12,HH,010210601025,217.49867920660904
377,451900,1.1094911130875356,0.03,HH,010210602001,288.0793608151251
378,451901,0.13363092418548245,0.2,HH,010210602002,184.16212335729142
379,451902,0.2880115246958601,0.2,HH,010210603001,184.16212335729142
385,451908,0.09993337819169412,0.17,HH,010210604022,195.41652531461943
388,451911,0.12300305907968385,0.29,HH,010210604025,155.3384719555673
393,451916,0.00019808503911249232,0.26,HH,010210606002,164.3345405392917
394,451917,0.3070413055461167,0.05,HH,010210607001,264.4853626951472
398,451921,0.9457858288893211,0.13,HH,010239567001,212.63911290388006
401,451924,0.026557316521554113,0.46,HH,010239567004,110.04337205114699
409,451932,0.48106755115201716,0.1,HH,010239569003,228.15515655446004
410,451933,0.17658123062212006,0.31,HH,010239569004,149.5850347347453
434,451957,0.021515703549218928,0.16,HH,010259579024,199.4457883209753
445,451968,0.06559062937720274,0.24,HH,010279591002,170.63025628400874
448,451971,0.7611094697834967,0.1,HH,010279592002,228.15515655446004
449,451972,0.06532177034464413,0.29,HH,010279592003,155.3384719555673
453,451976,0.0626456545956867,0.44,HH,010299596002,115.09692154967775
461,451984,0.020942429334444696,0.29,HH,010310101001,155.3384719555673
462,451985,0.05616123388814868,0.28,HH,010310101002,158.2841507271216
473,451996,0.0195811008275824,0.17,HH,010310105005,195.41652531461943
487,452010,0.00042453155068161887,0.38,HH,010310112021,130.54807880993974
488,452011,0.11643714787062497,0.35,HH,010310112022,138.5320466407568
492,452015,0.05620281185162686,0.21,HH,010310113002,180.64212470182403
493,452016,0.006261333507428009,0.45,HH,010310113003,112.56613468550742
494,452017,0.03586076363672691,0.38,HH,010330201001,130.54807880993974
495,452018,0.053489211919395416,0.29,HH,010330201002,155.3384719555673
497,452020,0.03140302375448142,0.29,HH,010330201004,155.3384719555673
499,452022,0.6124854175090246,0.24,HH,010330202002,170.63025628400874
507,452030,0.007261447386351411,0.39,HH,010330205003,127.93190344474542
510,452033,0.0067142245524876186,0.4,HH,010330206002,125.33471031357998
514,452037,0.2805093511296956,0.23,HH,010330207012,173.88468491852137
533,452056,0.16136397550577744,0.2,HH,010330209022,184.16212335729142
536,452059,0.15694205828248986,0.34,HH,010330210001,141.24631294414047
540,452063,0.06826818063879429,0.3,HH,010359602001,152.44005127080408
552,452075,0.0836343908021731,0.3,HH,010379610001,152.44005127080408
564,452087,1.9870203514811395,0.01,HH,010399616002,332.6347874040841
573,452096,1.6423463000623713,0.05,HH,010399619002,264.4853626951472
578,452101,0.0031902047283964875,0.41,HH,010399621001,122.75449766411496
583,452106,0.013238038873387986,0.34,HH,010399624001,141.24631294414047
585,452108,0.056917292794487026,0.31,HH,010399624003,149.5850347347453
586,452109,0.11116900326313021,0.17,HH,010399624004,195.41652531461943
