id,key,stat,p,group,population,name,z
0,451523,0.6938485472482583,0.13,HH,1136,010810416002,212.63911290388006
1,451524,0.0032642241811106252,0.52,HH,3952,010730111074,94.98464165352664
4,451527,0.11343173598132478,0.53,HH,764,010730111084,92.473013790017
7,451530,0.7376023893086042,0.1,HH,1518,010730049022,228.15515655446004
9,451532,1.30978632591929,0.01,HH,2159,010730129131,332.6347874040841
10,451533,0.5946758148604192,0.01,HH,1471,010730129084,332.6347874040841
11,451534,2.2704723207237736,0.01,HH,1936,010730144081,332.6347874040841
12,451535,0.07491961385824293,0.04,HH,1280,010730144043,275.0686071252169
14,451537,1.0577416203635153,0.04,HH,1562,010730144051,275.0686071252169
16,451539,1.0324305091712336,0.01,HH,1383,010730129153,332.6347874040841
18,451541,0.23816448504368612,0.08,HH,1890,010510313001,240.5071560309633
19,451542,0.3009455230078202,0.25,HH,971,010510313002,167.44897501960816
20,451543,0.04185770323838964,0.19,HH,3019,010810420021,187.7896295051229
29,451552,0.07550490169473098,0.38,HH,1564,010730110013,130.54807880993974
34,451557,0.004640118737819433,0.36,HH,851,010730108013,135.84587932511937
35,451558,2.548986876505237,0.01,HH,1587,010730047013,332.6347874040841
36,451559,1.1085198006730497,0.07,HH,456,010730049011,247.579102817917
37,451560,0.026451177236626742,0.24,HH,1296,010730144121,170.63025628400874
40,451563,0.04262005901135784,0.47,HH,955,010730117054,107.526986209983
43,451566,0.019858191230015563,0.32,HH,1567,011030051083,146.7698799114508
45,451568,0.0748618859526947,0.42,HH,636,010730107011,120.1893479141851
49,451572,0.2751326660753131,0.25,HH,1556,011030009003,167.44897501960816
52,451575,0.07330489869913276,0.19,HH,725,010730108032,187.7896295051229
53,451576,0.44990896277268616,0.01,HH,700,010730107064,332.6347874040841
57,451580,0.497503842317958,0.15,HH,1477,010730107063,203.64333894937897
58,451581,0.04017042123829018,0.15,HH,1248,010730107062,203.64333894937897
59,451582,5.970580582035922,0.01,HH,1083,010730047014,332.6347874040841
60,451583,0.27447463845994313,0.18,HH,793,010730100013,191.53650878428144
61,451584,0.5310816085545326,0.08,HH,1542,011170303173,240.5071560309633
63,451586,0.3990830895776493,0.06,HH,1842,011170303202,255.47735945968535
64,451587,2.864803957389181,0.03,HH,271,010730049023,288.0793608151251
65,451588,0.008865071591574505,0.28,HH,716,010919734005,158.2841507271216
77,451600,0.3870096297263953,0.31,HH,1553,011010056121,149.5850347347453
88,451611,0.7728777491353495,0.04,HH,1896,011170303163,275.0686071252169
96,451619,0.045678358842004704,0.38,HH,1198,011239622003,130.54807880993974
107,451630,0.014170785370819144,0.38,HH,1415,011010028002,130.54807880993974
109,451632,0.1972334206283925,0.3,HH,1741,011170303062,152.44005127080408
110,451633,0.7872169975569328,0.2,HH,490,011170303172,184.16212335729142
111,451634,0.7090306638441328,0.08,HH,2045,011170303171,240.5071560309633
118,451641,0.010444121139031252,0.42,HH,1354,010890101004,120.1893479141851
126,451649,0.6702421399110636,0.11,HH,4518,011010056091,222.65281200366104
128,451651,0.7969830757232642,0.11,HH,667,011010054102,222.65281200366104
130,451653,5.661034916422821,0.05,HH,1315,011170302122,264.4853626951472
131,451654,0.8572368191245389,0.01,HH,1926,011170302133,332.6347874040841
134,451657,0.30140094038700516,0.15,HH,1439,011010056082,203.64333894937897
135,451658,0.09022404656060713,0.33,HH,2433,011170303164,143.99131656732337
136,451659,0.01701228956770127,0.04,HH,1521,011170303342,275.0686071252169
139,451662,0.08560419983085177,0.11,HH,1484,011170304061,222.65281200366104
142,451665,0.5645539655021902,0.41,HH,1830,011170303152,122.75449766411496
144,451667,0.09047590930717138,0.08,HH,3885,011170306092,240.5071560309633
146,451669,3.7187995039779973,0.01,HH,1978,011170302121,332.6347874040841
153,451676,0.0015295844115558932,0.29,HH,1181,011170306042,155.3384719555673
157,451680,0.29266361486260273,0.27,HH,3337,011170306091,161.28129910166274
158,451681,0.10012528449180175,0.19,HH,3044,011170306041,187.7896295051229
160,451683,0.40091863845009423,0.04,HH,897,011170306081,275.0686071252169
171,451694,0.08468180881056939,0.12,HH,1332,010330206004,217.49867920660904
174,451697,1.6702236112323046,0.03,HH,3399,010730142034,288.0793608151251
176,451699,0.5835408399679932,0.23,HH,5902,011170306052,173.88468491852137
178,451701,0.004921584806066304,0.41,HH,2070,010090505005,122.75449766411496
180,451703,0.11692148824450588,0.21,HH,1895,011170303191,180.64212470182403
181,451704,0.005949616771716362,0.46,HH,1146,010090506012,110.04337205114699
182,451705,0.45066776726999486,0.01,HH,1976,010730111046,332.6347874040841
183,451706,0.08661705141108064,0.05,HH,4213,010730111111,264.4853626951472
184,451707,0.06945025613123759,0.48,HH,1679,010730112063,105.01535834647336
186,451709,0.03306615702713962,0.24,HH,2392,010730117041,170.63025628400874
189,451712,0.03252890621953752,0.47,HH,7204,010730143021,107.526986209983
191,451714,0.6423836884816082,0.02,HH,2807,010730127032,305.37489106318225
192,451715,0.10678099553111532,0.18,HH,2257,010730117052,191.53650878428144
195,451718,0.09894518946322106,0.44,HH,890,010330207043,115.09692154967775
199,451722,0.350357030638274,0.35,HH,985,010730051042,138.5320466407568
202,451725,0.04689502977775165,0.33,HH,782,010730111083,143.99131656732337
206,451729,0.07601399067326366,0.16,HH,1904,010730144061,199.4457883209753
207,451730,3.7560621746314364,0.01,HH,619,010730128021,332.6347874040841
209,451732,0.1758345501659147,0.28,HH,3145,010730113021,158.2841507271216
213,451736,0.0701600156460442,0.24,HH,1967,010070100022,170.63025628400874
216,451739,0.5697334563172642,0.05,HH,3143,010730142031,264.4853626951472
217,451740,0.21559333513745957,0.04,HH,1813,010730051041,275.0686071252169
228,451751,0.026707328407056665,0.3,HH,1065,010090506021,152.44005127080408
243,451766,0.022837925636837876,0.47,HH,1035,010090507004,107.526986209983
244,451767,0.010336131048119517,0.31,HH,1658,010090501015,149.5850347347453
248,451771,0.07865522057653233,0.29,HH,2139,010090502002,155.3384719555673
251,451774,0.00418102856654187,0.42,HH,2146,010090506025,120.1893479141851
264,451787,0.004700414023908251,0.45,HH,514,010719508002,112.56613468550742
267,451790,0.1950787705626662,0.04,HH,1055,010730048002,275.0686071252169
269,451792,0.6970385934889032,0.12,HH,1900,010730050001,217.49867920660904
271,451794,0.8263114814176242,0.03,HH,736,010730050002,288.0793608151251
274,451797,0.14825293823491295,0.34,HH,988,010730120021,141.24631294414047
275,451798,0.09216034370092913,0.1,HH,1864,010730120022,228.15515655446004
285,451808,0.18380100731609492,0.19,HH,2165,011030052002,187.7896295051229
286,451809,0.0016524951701743188,0.24,HH,1646,011030055003,170.63025628400874
290,451813,0.21115224375304947,0.42,HH,1094,010730053021,120.1893479141851
294,451817,0.1685857617567673,0.35,HH,646,010730053023,138.5320466407568
299,451822,1.171901634762552,0.18,HH,657,010730056003,191.53650878428144
301,451824,5.897905938432463,0.01,HH,852,010730056001,332.6347874040841
310,451833,0.1325049040608922,0.23,HH,1976,011130304014,173.88468491852137
